"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
18758,"",,3960,"HFO","350 KW","","GEN CARGO"
18760,"",,3960,"HFO","350 KW","","GEN CARGO"
18761,"",,30967,"HFO","1500KW","","GEN CARGO"
18762,"",,7723,"HFO","","","BULK"
18763,"",,2940,"HFO","350 KW","","GEN CARGO"
18764,"",,25487,"HFO","","","TANKER"
18765,"",,25487,"HFO","","","TANKER"
18766,"",,7171,"HFO","","","BULK"
18768,"",,15623,"HFO","","","TANKER"
18769,"",,8400,"HFO","2000 KW","2X2530KW","OTHER"
18772,"",,6929,"HFO","800 PK","","GEN CARGO"
18773,"",,6156,"HFO","","","BULK"
18774,"",,2489,"HFO","200 PK","","GEN CARGO"
18775,"",,7944,"HFO","","","TANKER"
18776,"",,9709,"HFO","","","BULK"
18778,"",,8826,"HFO","","","BULK"
18779,"",,9930,"HFO","","","BULK"
18780,"",,4891,"HFO","","","BULK"
18781,"",,15701,"HFO","","","BULK"
18782,"",,15704,"HFO","","","BULK"
18783,"",,5296,"HFO","","","BULK"
18785,"",,1940,"HFO","135 KW","","GEN CARGO"
18786,"",,33899,"HFO","JA","","GEN CARGO"
18787,"",,7400,"HFO","600 KW","","GEN CARGO"
18789,"",,7399,"HFO","","","GEN CARGO"
18790,"",,5443,"HFO","590KW","","GEN CARGO"
18791,"",,662,"HFO","120 PK","","TANKER"
18792,"",,750,"HFO","150 KW","","TANKER"
18793,"",,7000,"HFO","650 KW","","GEN CARGO"
19515,"",,7171,"HFO","","","BULK"
19516,"",,7282,"HFO","","","BULK"
19517,"",,4531,"HFO","","","TANKER"
